ts,tick,session,seq,event,wid,hwnd,proc,cls,mon,state,x,y,w,h,zone,cause,action,target,result,detail,title
2026-09-19T09:00:00.000+09:00,1000000,20260919090000-3f2a,1,start,,,,,,,,,,,,,,,,schema=1;ver=1.0;ahk=2.0.28;script=claude_hotkey.ahk,
2026-09-19T09:00:00.008+09:00,1000008,20260919090000-3f2a,2,monitor,,,,,,,,,,,,,,,,mon=1;x=0;y=0;w=2560;h=1440;work=0/0/2560/1400;dpi=96;primary=1,
2026-09-19T09:00:00.031+09:00,1000031,20260919090000-3f2a,3,snapshot,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,,,,,,
2026-09-19T09:00:00.100+09:00,1000100,20260919090000-3f2a,4,activate,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,user,,,,,
2026-09-19T09:03:00.000+09:00,1180000,20260919090000-3f2a,5,create,2,0x2B0044,EXCEL.EXE,XLMAIN,1,normal,312,180,1400,900,,,,,,via=create,
2026-09-19T09:03:00.200+09:00,1180200,20260919090000-3f2a,6,tool,2,0x2B0044,EXCEL.EXE,XLMAIN,1,normal,312,180,1400,900,,,autoplace,作業,moved,,
2026-09-19T09:03:00.300+09:00,1180300,20260919090000-3f2a,7,move,2,0x2B0044,EXCEL.EXE,XLMAIN,1,normal,1707,0,853,1400,右1/3,tool,autoplace,作業,,,
2026-09-19T09:03:00.400+09:00,1180400,20260919090000-3f2a,8,activate,2,0x2B0044,EXCEL.EXE,XLMAIN,1,normal,1707,0,853,1400,右1/3,user,,,,,
2026-09-19T09:05:00.031+09:00,1300031,20260919090000-3f2a,9,snapshot,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,,,,,,
2026-09-19T09:05:00.031+09:00,1300031,20260919090000-3f2a,10,snapshot,2,0x2B0044,EXCEL.EXE,XLMAIN,1,normal,1707,0,853,1400,右1/3,,,,,,
2026-09-19T09:10:00.000+09:00,1600000,20260919090000-3f2a,11,move,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,500,100,1500,1000,,user,,,,,
2026-09-19T09:10:00.031+09:00,1600031,20260919090000-3f2a,12,snapshot,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,500,100,1500,1000,,,,,,,
2026-09-19T09:10:00.031+09:00,1600031,20260919090000-3f2a,13,snapshot,2,0x2B0044,EXCEL.EXE,XLMAIN,1,normal,1707,0,853,1400,右1/3,,,,,,
2026-09-19T09:15:00.031+09:00,1900031,20260919090000-3f2a,14,snapshot,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,500,100,1500,1000,,,,,,,
2026-09-19T09:15:00.031+09:00,1900031,20260919090000-3f2a,15,snapshot,2,0x2B0044,EXCEL.EXE,XLMAIN,1,normal,1707,0,853,1400,右1/3,,,,,,
2026-09-19T09:15:05.000+09:00,1905000,20260919090000-3f2a,16,tool,,,,,,,,,,,,,layout,作業,moved,count=1,
2026-09-19T09:15:05.050+09:00,1905050,20260919090000-3f2a,17,move,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,tool,layout,作業,,,
2026-09-19T09:20:00.000+09:00,2200000,20260919090000-3f2a,18,create,3,0x3C0102,notepad.exe,Notepad,1,normal,500,300,800,600,,,,,,via=create,
2026-09-19T09:20:00.031+09:00,2200031,20260919090000-3f2a,19,snapshot,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,,,,,,
2026-09-19T09:20:00.031+09:00,2200031,20260919090000-3f2a,20,snapshot,2,0x2B0044,EXCEL.EXE,XLMAIN,1,normal,1707,0,853,1400,右1/3,,,,,,
2026-09-19T09:20:00.031+09:00,2200031,20260919090000-3f2a,21,snapshot,3,0x3C0102,notepad.exe,Notepad,1,normal,500,300,800,600,,,,,,,
2026-09-19T09:20:01.000+09:00,2201000,20260919090000-3f2a,22,destroy,3,0x3C0102,notepad.exe,Notepad,1,normal,500,300,800,600,,,,,,,
2026-09-19T09:25:00.031+09:00,2500031,20260919090000-3f2a,23,snapshot,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,,,,,,
2026-09-19T09:25:00.031+09:00,2500031,20260919090000-3f2a,24,snapshot,2,0x2B0044,EXCEL.EXE,XLMAIN,1,normal,1707,0,853,1400,右1/3,,,,,,
2026-09-19T09:30:00.000+09:00,2800000,20260919090000-3f2a,25,destroy,2,0x2B0044,EXCEL.EXE,XLMAIN,1,normal,1707,0,853,1400,右1/3,,,,,,
2026-09-19T09:30:00.031+09:00,2800031,20260919090000-3f2a,26,snapshot,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,,,,,,
2026-09-19T09:30:00.100+09:00,2800100,20260919090000-3f2a,27,activate,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,app,,,,,
2026-09-19T09:33:20.000+09:00,3000000,20260919090000-3f2a,28,minimize,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,min,0,0,1707,1400,左2/3,user,,,,,
2026-09-19T09:35:00.000+09:00,3100000,20260919090000-3f2a,29,restore,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,user,,,,,
2026-09-19T09:35:00.031+09:00,3100031,20260919090000-3f2a,30,snapshot,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,,,,,,
2026-09-19T09:40:00.031+09:00,3400031,20260919090000-3f2a,31,snapshot,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,,,,,,
2026-09-19T09:45:00.010+09:00,3700010,20260919090000-3f2a,32,idle,,,,,,,,,,,,,,,,since=2400000,
2026-09-19T09:45:00.031+09:00,3700031,20260919090000-3f2a,33,snapshot,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,,,,,,
2026-09-19T09:50:00.010+09:00,4000010,20260919090000-3f2a,34,resume,,,,,,,,,,,,,,,,at=3000000,
2026-09-19T09:50:00.031+09:00,4000031,20260919090000-3f2a,35,snapshot,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,,,,,,
2026-09-19T09:55:00.031+09:00,4300031,20260919090000-3f2a,36,snapshot,1,0x1A0F32,msedge.exe,Chrome_WidgetWin_1,1,normal,0,0,1707,1400,左2/3,,,,,,
2026-09-19T10:00:00.000+09:00,4600000,20260919090000-3f2a,37,stop,,,,,,,,,,,,,,,,,
